search_term,Unique User Count,Result Count,No Results Count,No Result Percentage,Using Autocomplete,Using Free Text
clematis,51,2,59,0.9672131147540983,2,56
butterfly,50,24,46,0.6846153846153846,2,62
moab,31,2,36,0.9459459459459459,7,28
foxglove,27,3,30,0.9090909090909091,1,25
alstromeria,34,9,29,0.8055555555555556,2,34
roses  playa blanca (sometimes have subtle blush hints),101,148,26,0.17687074829931973,168,4
nerine,23,2,26,0.9285714285714286,1,22
hellebore,23,1,26,0.9807692307692307,1,24
ranunculus peach (the color may vary salmon / orange / peach),36,42,18,0.3173076923076923,58,1
cremone,18,4,16,0.8,1,17
peony,92,240,13,0.06557377049180328,0,171
poms,14,1,13,0.9285714285714286,2,10
ranunculus white,43,54,13,0.23636363636363636,62,5
anthirium,9,1,13,0.9285714285714286,1,11
antherium,10,0,12,1,0,11
anenome,12,12,11,0.625,1,9
wisteria,10,3,11,0.7857142857142857,0,9
ranunculus,159,367,11,0.03903345724907063,0,262
wildflowers,11,1,10,0.9090909090909091,0,7
sweetpea,11,1,10,0.9090909090909091,1,10
"butterfly ",11,1,10,0.9090909090909091,1,8
smokebush,9,0,10,1,0,9
daisies,11,1,10,0.9090909090909091,0,8
lavendar,10,0,10,1,1,8
hydrengea,6,0,9,1,2,7
muscari,10,2,9,0.8181818181818182,0,10
lillies,11,3,9,0.75,2,8
cornflower,11,3,9,0.75,0,10
roses quicksand,42,71,9,0.13636363636363635,79,1
ruskus,8,1,9,0.8888888888888888,1,7
gloriosa,8,1,9,0.9,0,10
tropicals,10,1,9,0.9,0,7
matricaria (feverfew) white chamomile daisy,10,10,8,0.5,18,0
garden roses white ohara *fragrance* (white/blush),30,67,8,0.14285714285714285,73,2
spray roses  caffe latto (bronze-pink),9,2,8,0.8,8,2
roses freedom,35,69,8,0.10555555555555557,72,0
lisanthus,8,2,8,0.8,0,10
dahlia,27,38,8,0.18181818181818182,1,30
palms,7,1,8,0.8888888888888888,2,5
delphenium,8,2,8,0.8,1,8
stock,87,174,8,0.05555555555555555,0,124
cremons,8,1,7,0.875,0,8
queen annes lace orlaya,13,17,7,0.3333333333333333,23,1
carnation,72,105,7,0.07216494845360824,0,82
marigolds,9,4,7,0.7,1,10
kiera,7,1,7,0.875,0,8
roses  romina,7,1,7,0.875,5,3
cappucino,7,0,7,1,1,6
eremurus,11,4,7,0.6363636363636364,0,10
hellebores,7,1,7,0.875,0,8
lisianthis,7,0,7,1,1,3
delphinium,94,204,6,0.038461538461538464,0,111
ranunuculus,6,0,6,1,0,5
vibernum,6,0,6,1,0,6
roses,92,212,6,0.03333333333333333,0,118
status,5,0,6,1,1,4
roses  eskimo,11,7,6,0.46153846153846156,12,1
wildflower,6,0,6,1,2,4
scabosia,5,1,6,0.9166666666666666,2,5
rananculus,4,0,6,1,0,6
zinnias,7,1,6,0.8571428571428571,0,7
amsonia blue star,7,1,6,0.8571428571428571,6,1
delphiniums,5,0,6,1,1,5
ruscus italian,22,36,6,0.1875,35,7
calcynia,5,0,5,1,0,4
narcissus,5,0,5,1,0,5
anemones,5,2,5,0.75,0,5
burgandy,5,0,5,1,0,5
amarathus,6,1,5,0.8333333333333334,0,6
springerii,4,2,5,0.75,0,7
huck green,11,9,5,0.38461538461538464,13,1
solidaster,5,0,5,1,0,5
delphinum,5,0,5,1,0,5
astible,5,1,5,0.8333333333333334,0,6
peony a grade (30mm) assorted,7,2,5,0.7142857142857143,5,2
billy balls  paintball pop,5,3,5,0.625,7,1
lisianthus,51,102,5,0.06666666666666667,0,84
eremerus,5,3,5,0.8333333333333334,1,4
snaps,6,1,5,0.8333333333333334,0,6
ponpon,5,0,5,1,0,5
delpinium,5,0,5,1,1,4
dahlias assorted,7,6,5,0.5,9,2
fritillaria,5,0,5,1,0,5
ranunclus,3,0,5,1,0,4
stocl,5,0,5,1,0,5
juliette,4,0,5,1,0,5
caspia,5,0,5,1,0,4
peonies,35,69,5,0.08181818181818182,0,44
daisy,26,32,5,0.14285714285714285,0,18
euclyptus,4,0,4,1,0,4
dasiy,4,1,4,0.8,0,4
coculus,4,0,4,1,1,3
"ranunculus ",25,50,4,0.09523809523809523,0,20
agrostemma,4,0,4,1,0,4
rannuculus,4,0,4,1,0,3
ninebark,4,0,4,1,0,3
ranunculua,4,0,4,1,1,3
eucalyptus,35,55,4,0.0784313725490196,0,38
garden roses cafe latte,7,5,4,0.4375,8,1
roses shimmer,11,13,4,0.2857142857142857,16,1
sweetpeas,4,0,4,1,0,4
eucalpytus,4,0,4,1,0,4
roses toffee,13,31,4,0.1414141414141414,33,2
didiscus,4,0,4,1,0,2
chrysanthemum,11,19,4,0.18055555555555555,0,17
dhalia,4,0,4,1,0,3
amaranthus green hanging,17,27,4,0.10714285714285714,29,2
spray roses white majolika,14,16,4,0.2222222222222222,18,2
ranunculus elegance white,17,31,4,0.13793103448275862,34,1
lilys,4,0,4,1,0,1
star thistle  spray blue bell,7,3,4,0.5714285714285714,7,0
"eucalyptus assorted (16 seeded, baby, silver dollar, parvifolia, bonsai) ",4,0,4,1,4,0
lisanthius,3,0,4,1,0,4
roses vendela,8,4,4,0.5,6,1
peony ann styer,6,3,4,0.5714285714285714,7,0
roses garden look assorted,4,2,4,0.8,5,1
lilies asiatic assorted 3/5 bl,4,1,4,0.8,5,0
gardenias,4,0,4,1,1,2
queen annes lace ammi visnaga,6,8,4,0.35,10,1
soldiago,4,0,4,1,0,4
bougainvillea,4,0,4,1,0,3
greenery,45,107,4,0.057971014492753624,0,72
aster solidago,10,16,4,0.25,15,5
ranunculs,4,0,4,1,0,4
grevillea ivanhoe,2,3,4,0.5714285714285714,7,0
sweet pea,31,76,4,0.06666666666666667,1,53
"peony 167 assorted ",6,6,4,0.3888888888888889,10,0
spray roses,40,68,4,0.06896551724137931,0,49
buttons,4,0,4,1,0,3
butterfly ranunculus,24,33,4,0.12121212121212122,0,24
honeysuckle,3,0,3,1,0,3
delphnium,3,0,3,1,0,2
salal,21,26,3,0.12,0,19
"garlands gyp babys breath (10 ft long, 6-8 in width) ",5,10,3,0.3,13,0
eucalyptus gunni,3,1,3,0.75,3,1
garden roses veggie,3,3,3,0.4,5,1
ranunculus  butterfly litai,6,4,3,0.5,7,0
hydrenga,3,0,3,1,0,3
rannuclus,2,0,3,1,0,2
hydragea,4,1,3,0.75,0,3
"delphinium assorted belladonna (blue, light blue)",3,0,3,1,2,1
asclepias,2,0,3,1,0,3
stock white,18,37,3,0.10714285714285714,24,15
hydragnea,2,0,3,1,0,3
dephinium,3,0,3,1,0,3
garden roses free spirit,12,15,3,0.1875,17,1
scabiosia,3,0,3,1,1,2
anthurium green,5,5,3,0.42857142857142855,8,0
"foxglove ",3,0,3,1,1,1
foam,3,0,3,1,0,2
larkspur white,8,9,3,0.25,6,3
similax,3,0,3,1,0,2
"forgetmenot ",3,0,3,1,3,0
wild flowers,4,1,3,0.75,0,3
lisiathus,3,0,3,1,0,3
silverdollar,3,0,3,1,0,3
ameranthus,3,1,3,0.75,0,1
orchid,32,49,3,0.06666666666666667,0,33
garden roses georgia peach,2,1,3,0.75,3,1
corsage,4,1,3,0.75,0,2
dried and preserved flowers eucalyptus silver dollar,3,0,3,1,2,1
caranations,3,0,3,1,0,3
consumer bunch sunflower sunbright extra 3 stems,3,2,3,0.6,5,0
ruscus israeli,7,7,3,0.3333333333333333,8,2
vendella,3,0,3,1,0,2
gerbers,3,0,3,1,0,3
matricaria (feverfew) single (vegmo),5,4,3,0.5,7,0
averie,2,0,3,1,0,3
delphium,3,0,3,1,0,3
baker,3,0,3,1,1,2
rununculus,3,0,3,1,0,1
babysbreath,2,1,3,0.6666666666666666,1,1
strelitzia birds of paradise,6,9,3,0.3,10,0
lizianthus,2,0,3,1,1,2
ranculus,3,0,3,1,0,3
white rose,43,61,3,0.045454545454545456,0,39
roses playa blanca (sometimes have subtle blush hints),14,19,3,0.16666666666666666,22,0
hydrangea,124,255,3,0.012376237623762377,0,183
dahila,2,0,3,1,1,1
ruscus,45,74,3,0.046153846153846156,0,44
buplerum,3,0,3,1,0,3
alium,3,0,3,1,0,2
runner,3,0,3,1,0,2
phalaenopsis white (6 blooms),7,5,3,0.375,7,1
forgetmenot,3,0,3,1,1,0
twedia,3,0,3,1,1,1
eucalptus,3,0,3,1,0,3
gerbera,19,25,3,0.13043478260869565,0,21
deloh,3,0,3,1,0,3
bachelor buttons,3,0,3,1,1,2
hydrangea antique green,5,4,3,0.42857142857142855,5,0
larspur,3,0,3,1,0,3
caranation,3,0,3,1,0,2
orleya,2,0,3,1,0,3
"peony aa (35mm), aaa (40mm) assorted",11,14,3,0.1875,16,1
dara,3,0,3,1,0,3
garden roses pink ohara *fragrance*,6,6,3,0.375,8,1
lillys,2,0,3,1,0,2
chyrsanthemum,3,0,3,1,1,2
playablanca,3,0,3,1,0,3
boquet,3,0,3,1,0,1
lisianthua,3,0,3,1,1,2
larkspur assorted,3,0,3,1,3,0
ranuncukus,3,0,3,1,0,2
astillbe,3,0,3,1,0,2
thisle,3,0,3,1,0,2
ranunuclus,3,0,3,1,0,3
ofea,3,0,3,1,0,3
"clematis ",3,0,3,1,0,2
pittisporum,3,0,3,1,0,3
plumeria,4,1,3,0.75,0,3
myra,3,0,3,1,0,3
"tweedia assorted (white, blue)",4,2,3,0.75,5,0
roses tibet,13,25,3,0.13043478260869565,27,1
scabiosa blackberry scoop,2,0,2,1,2,0
salvia,2,0,2,1,0,2
